,accuracy,aupr,auc,f1,precision,recall
0,0.9272756547874624,0.8830677666214976,0.9266999931012393,0.8701360935403487,0.8210345451257008,0.9254841997961264
1,0.9506762559038214,0.9169742827122906,0.9262975849723196,0.9005734069025209,0.9259176863181312,0.8765796124684078
2,0.9494954916273078,0.8437316576769368,0.8881826820958938,0.8276241069793002,0.8569802731411229,0.8002125398512221
3,0.9846232288535852,0.8825522593746544,0.928339134178497,0.8779552715654952,0.8925941966219142,0.863788767812238
4,0.9915468012022327,0.8799739642575791,0.9254858442693239,0.8768087602659367,0.9004016064257028,0.854420731707317
5,0.9950622584800344,0.9210590937951206,0.9649365753133681,0.9198606271777003,0.9072164948453608,0.9328621908127208
6,0.9892121082009446,0.8142271057702473,0.8844682192886598,0.8091168091168093,0.848605577689243,0.7731397459165155
7,0.9936131386861314,0.8925687502103493,0.9462466480702587,0.8910256410256409,0.8861566484517304,0.8959484346224678
8,0.9911979390296265,0.7627786964720489,0.8720087836318492,0.7602339181286549,0.7726597325408618,0.7482014388489209
9,0.998067840274796,0.9342512638725886,0.9534345059334278,0.9328358208955224,0.9596928982725528,0.9074410163339383
10,0.9989802490339201,0.9472013633053334,0.9584551407026706,0.9458689458689459,0.9764705882352941,0.9171270718232044
11,0.997611635895234,0.8617703927808049,0.9333262007069982,0.8611544461778472,0.8544891640866873,0.8679245283018868
12,0.9964040360669816,0.7354989441031887,0.8765515336581159,0.7341269841269842,0.7142857142857143,0.7551020408163265
13,0.9987924001717475,0.9071246459118103,0.9446548407850134,0.9064449064449064,0.923728813559322,0.889795918367347
14,0.9979336625161014,0.7973801605032048,0.901056312163859,0.7968337730870714,0.7905759162303665,0.8031914893617021
15,0.9986313868613139,0.8399934689168266,0.8967405802819156,0.8370607028753994,0.8851351351351351,0.793939393939394
16,0.9999463288965221,0.9938918662265855,0.9938650306748467,0.9938271604938271,1.0,0.9877300613496932
17,0.9972627737226277,0.741751736958364,0.9234772306025989,0.7258064516129034,0.6338028169014085,0.8490566037735849
18,0.9988460712752254,0.8675219188916191,0.9427011019405916,0.8668730650154798,0.8484848484848485,0.8860759493670886
19,0.9996511378273937,0.9575367580961406,0.964258767371136,0.9565217391304347,0.9862068965517241,0.9285714285714286
20,0.9992754401030485,0.8954280995936942,0.9561337935644575,0.8949416342412452,0.8778625954198473,0.9126984126984127
21,0.9994901245169601,0.9058219865030728,0.9459707945392246,0.9054726368159205,0.9191919191919192,0.8921568627450981
22,0.9991949334478317,0.8502012666380421,0.9247981917985147,0.85,0.85,0.85
23,0.9995437956204379,0.9085940276645007,0.9367748449117899,0.907103825136612,0.9431818181818182,0.8736842105263158
24,0.9990875912408759,0.8065586088449979,0.8748520391692672,0.8023255813953489,0.8625,0.75
25,0.9993291112065265,0.8489130276333297,0.931910507357172,0.8484848484848484,0.8333333333333334,0.8641975308641975
26,0.9988729068269644,0.7026260216830769,0.798553397553048,0.6865671641791045,0.8070175438596491,0.5974025974025974
27,0.9992754401030485,0.8214025012617417,0.9131451056315936,0.8211920529801323,0.8157894736842105,0.8266666666666667
28,0.9988729068269644,0.7046334348824688,0.8568471105170573,0.7042253521126761,0.6944444444444444,0.7142857142857143
29,0.9992754401030485,0.79210202191993,0.8804491535387022,0.7906976744186047,0.8225806451612904,0.7611940298507462
30,0.9993022756547875,0.7890077878621874,0.8748655913978495,0.7868852459016394,0.8275862068965517,0.75
31,0.9990070845856591,0.704286578849419,0.8545833470625062,0.704,0.6984126984126984,0.7096774193548387
32,0.9989534134821811,0.6469321961123927,0.7964085836831662,0.6422018348623852,0.7,0.5932203389830508
33,0.9996779733791327,0.9010547834505301,0.9654097318378384,0.9,0.8709677419354839,0.9310344827586207
34,0.9999194933447831,0.975,0.9999596850055097,0.9743589743589743,0.95,1.0
35,0.9996243022756548,0.8728211971583589,0.9362695730993722,0.8727272727272727,0.8727272727272727,0.8727272727272727
36,0.999973164448261,0.990909090909091,0.9999865627519484,0.9908256880733944,0.9818181818181818,1.0
37,0.9993827823100043,0.7651068599448665,0.8626241725561856,0.7628865979381443,0.8043478260869565,0.7254901960784313
38,0.9984972091026192,0.3024099458560167,0.6120030599906227,0.282051282051282,0.3793103448275862,0.22448979591836735
39,0.9994096178617432,0.7664653611365206,0.874865649183147,0.7659574468085107,0.782608695652174,0.75
40,0.9999194933447831,0.9659493442366993,0.9659090909090908,0.9647058823529412,1.0,0.9318181818181818
41,0.9998926577930443,0.9545722900971935,0.977245859997069,0.9545454545454546,0.9545454545454546,0.9545454545454546
42,0.9992486045513096,0.6127549377415199,0.7623791102514507,0.6,0.7,0.525
43,0.9995437956204379,0.7805395831641002,0.8749059746400172,0.7792207792207791,0.8108108108108109,0.75
44,0.9998658222413053,0.9368992276865827,0.9624731356114336,0.9367088607594937,0.9487179487179487,0.925
45,0.9993022756547875,0.5688689709460426,0.7351866774106904,0.5517241379310345,0.6666666666666666,0.47058823529411764
46,0.9999463288965221,0.9706016530699871,0.9852806876175129,0.9705882352941176,0.9705882352941176,0.9705882352941176
47,0.9998121511378274,0.825973363798074,0.8571294318011823,0.8108108108108109,0.9375,0.7142857142857143
48,0.9997853155860884,0.8114038896912448,0.924932875093975,0.8095238095238095,0.7727272727272727,0.85
49,0.9998121511378274,0.7500805066552167,0.7999865768208543,0.7200000000000001,0.9,0.6
50,0.9999194933447831,0.8846556379429931,0.8846153846153846,0.8695652173913044,1.0,0.7692307692307693
51,0.9996243022756548,0.00016101331043366253,0.49997315580371526,0.0,0.0,0.0
52,1.0,1.0,1.0,1.0,1.0,1.0
53,0.9998658222413053,0.7286250996749065,0.7999865786224298,0.7058823529411764,0.8571428571428571,0.6
54,0.9999194933447831,0.8264157244406278,0.8888754678715757,0.823529411764706,0.875,0.7777777777777778
55,0.9997584800343495,0.3056628977625113,0.5555421345382425,0.1818181818181818,0.5,0.1111111111111111
56,0.9999194933447831,0.8333735866609417,0.8333333333333333,0.8,1.0,0.6666666666666666
57,0.9998658222413053,0.6190878723752273,0.7856874451205718,0.6153846153846153,0.6666666666666666,0.5714285714285714
58,0.9998658222413053,0.6696696926945961,0.8571025962522864,0.6666666666666666,0.625,0.7142857142857143
59,1.0,1.0,1.0,1.0,1.0,1.0
60,0.9998926577930443,0.600026835551739,0.7999731608470437,0.6,0.6,0.6
61,0.999973164448261,0.9000134177758695,0.9,0.888888888888889,1.0,0.8
62,0.9998926577930443,0.6000536711034778,0.6,0.33333333333333337,1.0,0.2
63,0.9998389866895664,6.708887934735938e-05,0.49998658042352184,0.0,0.0,0.0
64,0.9999463288965221,0.8000268355517389,0.8,0.7499999999999999,1.0,0.6
